 line_num | count | container_number | order_number | lot | item_code |                         product_description                          | qty  | pkgs | pack_type_code |  cbm  |   kgs    | invoice_number 
       35 |     1 | CAAU6980806      | 5170072      | 1   | BB702-M   | Southside Band Collar Jacket White - Size M                          |   50 |    2 | CTN            | 0.090 |   19.800 | 830B
       36 |     1 | CAAU6980806      | 5170072      | 1   | BB712-L   | Southside Band Collar Jacket Charcoal - Size L                       |   25 |    1 | CTN            | 0.050 |   29.000 | 830B
       37 |     1 | CAAU6980806      | 5170072      | 1   | DL711-S   | Whites Chicago Short Sleeve - Size S                                 |  100 |    4 | CTN            | 0.180 |   38.800 | 830B
       38 |     1 | CAAU6980806      | 5170408      | 1   | A203-L    | Whites Skull Cap White Polycotton - Size L                           |  300 |    1 | CTN            | 0.070 |   21.000 | 831A
       39 |     1 | CAAU6980806      | 5170408      | 1   | A211-L    | Whites Vegas Chefs Jacket Short Sleeve White Polycotton - Size L     |  125 |    5 | CTN            | 0.230 |   77.500 | 831A
       40 |     1 | CAAU6980806      | 5170408      | 1   | A212      | Whites Bakers Cap White - One Size                                   |  300 |    1 | CTN            | 0.070 |   12.300 | 831A
       41 |     1 | CAAU6980806      | 5170408      | 1   | A275      | Whites Bib Apron Polycotton Black/White Check                        |  100 |    1 | CTN            | 0.070 |   13.000 | 831A
       42 |     1 | CAAU6980806      | 5170408      | 1   | A438-XL   | Whites Vegas Chefs Jacket Long Sleeve Black Polycotton - Size XL     |  100 |    4 | CTN            | 0.180 |   56.000 | 831A
       43 |     1 | CAAU6980806      | 5170408      | 1   | A439-L    | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size L     |  100 |    4 | CTN            | 0.180 |   16.400 | 831A
       44 |     1 | CAAU6980806      | 5170408      | 1   | A439-XL   | Whites Vegas Chefs Jacket Short Sleeve Black Polycotton - Size XL    |  100 |    4 | CTN            | 0.180 |    8.000 | 831A
       45 |     1 | CAAU6980806      | 5170408      | 1   | A535      | Whites Bib Apron Blue/White Butchers Stripe with Pocket - 28-38"     |  100 |    1 | CTN            | 0.090 |   12.000 | 831A
       46 |     1 | CAAU6980806      | 5170408      | 1   | A540      | Whites Bib Apron Polycotton Green                                    |  100 |    1 | CTN            | 0.070 |    7.000 | 831A
       47 |     1 | CAAU6980806      | 5170408      | 1   | A580      | EDLP Whites Water Resistant Apron Blue/White Stripe                  |  200 |    1 | CTN            | 0.070 |   15.000 | 831A
       48 |     1 | CAAU6980806      | 5170408      | 1   | A582-5XL  | Whites Vegas Chefs Trousers Black - Size 5XL                         |  100 |    4 | CTN            | 0.180 |   60.000 | 831A
       49 |     1 | CAAU6980806      | 5170408      | 1   | A582-M    | Whites Vegas Chefs Trousers Black Polycotton - Size M                |  100 |    4 | CTN            | 0.180 |   90.000 | 831A
       50 |     1 | CAAU6980806      | 5170408      | 1   | B250-M    | Whites Boston Short Sleeved White Jacket - Size M                    |  100 |    4 | CTN            | 0.180 |   96.000 | 831A
       51 |     1 | CAAU6980806      | 5170408      | 1   | B252      | Whites Comfy Hat White - One Size                                    |  300 |    1 | CTN            | 0.070 |   30.500 | 831A
       52 |     1 | CAAU6980806      | 5170408      | 1   | BB477-M   | Nisbets Essentials Chef Trousers - Size M                            |  100 |    4 | CTN            | 0.180 |   88.000 | 831A
       53 |     1 | CAAU6980806      | 5170790      | 1   | A134-L    | Whites Vegas Chefs Jacket Long Sleeve White Polycotton - Size L      |  200 |    8 | CTN            | 0.360 |  156.800 | 832A
       54 |     1 | CAAU6980806      | 5170790      | 1   | A134-S    | Whites Vegas Chefs Jacket Long Sleeve White Polycotton - Size S      |  175 |    7 | CTN            | 0.320 |  128.100 | 832A
       55 |     1 | CAAU6980806      | 5170790      | 1   | A134-XL   | Whites Vegas Chefs Jacket Long Sleeve White Polycotton - Size XL     |  100 |    4 | CTN            | 0.180 |   80.000 | 832A
       56 |     1 | CAAU6980806      | 5170790      | 1   | A134-XXL  | Whites Vegas Chefs Jacket Long Sleeve White Polycotton - Size XXL    |  100 |    4 | CTN            | 0.180 |   50.000 | 832A
       57 |     1 | CAAU6980806      | 5170790      | 1   | A206-M    | Whites Skull Cap Black Polycotton - Size M                           |  300 |    1 | CTN            | 0.070 |   20.000 | 832A
       58 |     1 | CAAU6980806      | 5170790      | 1   | A211-4XL  | Whites Vegas Chef Jacket Short Sleeve White - Size 4XL               |  100 |    4 | CTN            | 0.180 |   53.200 | 832A
       59 |     1 | CAAU6980806      | 5170790      | 1   | A211-5XL  | Whites Vegas Chef Jacket Short Sleeve White - Size 5XL               |  125 |    5 | CTN            | 0.230 |   95.000 | 832A
       60 |     1 | CAAU6980806      | 5170790      | 1   | A211-L    | Whites Vegas Chefs Jacket Short Sleeve White Polycotton - Size L     |  800 |   32 | CTN            | 1.450 |  496.000 | 832A
       61 |     1 | CAAU6980806      | 5170790      | 1   | A211-M    | Whites Vegas Chefs Jacket Short Sleeve White Polycotton - Size M     |  550 |   22 | CTN            | 1.000 |  275.000 | 832A
       62 |     1 | CAAU6980806      | 5170790      | 1   | A211-S    | Whites Vegas Chefs Jacket Short Sleeve White Polycotton - Size S     |  250 |   10 | CTN            | 0.450 |  155.000 | 832A
       63 |     1 | CAAU6980806      | 5170790      | 1   | A211-XL   | Whites Vegas Chefs Jacket Short Sleeve White Polycotton - Size XL    |  175 |    7 | CTN            | 0.320 |   92.400 | 832A
